,quote_date,Dividend,underlying_bid_1545,symbol,expiration,strike,bid_1545,ask_1545,net_change,implied_volatility_1545,volume,Interest_rate,date_diff,expiration_group,Strike_diff,Strike_group
1362,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-05-30,30200.00,13.75,14.8, -24.65, 30.09,,6.25,3.0,0_week,0.045742732872741,mid_point
1363,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-05-30,30300.00,16.75,17.0, -29.65, 29.49,,6.25,3.0,0_week,0.04258294059748513,mid_point
1364,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-05-30,30400.00,16.6,20.1, -36.40, 28.69,,6.25,3.0,0_week,0.03942314832222937,mid_point
1365,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-05-30,30500.00,24.1,25.2, -45.25, 28.38,,6.25,3.0,0_week,0.036263356046973505,mid_point
1366,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-05-30,30600.00,28.05,29.0, -59.40, 27.15,,6.25,3.0,0_week,0.03310356377171764,mid_point
1367,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-05-30,30700.00,31.55,34.5, -72.40, 26.57,,6.25,3.0,0_week,0.02994377149646188,mid_point
1368,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-05-30,30800.00,42.0,43.45, -85.20, 25.95,,6.25,3.0,0_week,0.02678397922120601,mid_point
1369,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-05-30,30900.00,51.1,52.5, -104.45, 25.40,,6.25,3.0,0_week,0.023624186945950254,mid_point
1370,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-05-30,31000.00,66.25,67.9, -117.55, 25.35,,6.25,3.0,0_week,0.020464394670694386,mid_point
1371,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-05-30,31100.00,82.0,85.95, -136.50, 25.05,,6.25,3.0,0_week,0.017304602395438518,mid_point
1372,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-05-30,31200.00,103.55,104.0, -164.75, 24.52,,6.25,3.0,0_week,0.01414481012018276,mid_point
1373,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-05-30,31300.00,129.2,129.95, -179.75, 24.40,,6.25,3.0,0_week,0.010985017844926892,mid_point
1374,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-05-30,31400.00,158.0,161.0, -209.75, 23.98,,6.25,3.0,0_week,0.007825225569671135,mid_point
1375,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-05-30,31500.00,192.0,193.8, -226.20, 23.74,,6.25,3.0,0_week,0.0046654332944152666,mid_point
1376,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-05-30,31600.00,231.65,234.0, -259.30, 23.55,,6.25,3.0,0_week,0.0015056410191593983,mid_point
1377,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-05-30,31700.00,280.05,286.95, -246.95, 23.98,,6.25,3.0,0_week,-0.001654151256096359,minus_10
1378,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-05-30,31800.00,329.6,349.95, -303.00, 23.96,,6.25,3.0,0_week,-0.004813943531352116,minus_10
1379,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-05-30,31900.00,393.9,419.2, -303.20, 24.54,491.0,6.25,3.0,0_week,-0.007973735806608095,minus_10
1380,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-05-30,32000.00,462.2,479.6, -311.00, 24.85,,6.25,3.0,0_week,-0.011133528081863853,minus_10
1381,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-05-30,32100.00,535.0,632.55, -391.00, 26.05,4.0,6.25,3.0,0_week,-0.01429332035711961,minus_10
1382,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-05-30,32200.00,35.05,701.6,0,0,0.0,6.25,3.0,0_week,-0.01745311263237559,minus_10
1383,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-05-30,32300.00,35.05,791.05,0,0,0.0,6.25,3.0,0_week,-0.020612904907631346,minus_10
1384,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-05-30,32400.00,786.65,839.2, -314.75, 29.47,110.0,6.25,3.0,0_week,-0.023772697182887104,minus_10
1385,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-05-30,32500.00,870.0,990.85, -420.25, 26.88,14.0,6.25,3.0,0_week,-0.026932489458143083,minus_10
1386,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-05-30,32600.00,613.6,,0,0,0.0,6.25,3.0,0_week,-0.03009228173339884,minus_10
1387,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-05-30,32700.00,664.45,,0,0,0.0,6.25,3.0,0_week,-0.0332520740086546,minus_10
1388,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-05-30,32800.00,,, -394.95, 33.95,22.0,6.25,3.0,0_week,-0.036411866283910355,minus_10
